occupation_id;label;english_translation;country_code;lang_code;preferred;cc;lc;link_id;status_id;relation_id;comnum;product_id;hisco_id;comtxt;provenance
31791;Skjutsföreståndareänka;Widow, hauler;SW;SW;0;SE;sv;23510;11;0;0;0;98620;2;SHD
31792;Skoaffärsbiträde;Shop assistant, shoes;SW;SW;0;SE;sv;23511;0;29;0;0;45130;1;SHD
31793;Skoarbetare;Shoemaker;SW;SW;0;SE;sv;23512;0;29;0;0;80110;1;SHD
31794;Skoarbetareänka;Widow, shoemaker;SW;SW;0;SE;sv;23513;11;29;0;0;80110;2;SHD
31795;Skoarbetarehustru;Wife, shoemaker;SW;SW;0;SE;sv;23514;11;29;0;0;80110;2;SHD
31796;Skoarbetarelärling;Shoemaker;SW;SW;0;SE;sv;23515;0;29;0;0;80110;1;SHD
31797;Skoarbeterska;Shoemaker;SW;SW;0;SE;sv;23516;0;29;0;0;80110;1;SHD
31798;Skoarbetskarl;Shoemaker;SW;SW;0;SE;sv;23517;0;29;0;0;80110;1;SHD
31799;Skobinderiarbetare;Shoemaker, shoe-binder;SW;SW;0;SE;sv;23518;0;29;0;0;80110;1;SHD
31800;Skobiträde;Shoemaker;SW;SW;0;SE;sv;23519;0;29;0;0;80110;1;SHD
31801;Skofabrikör;Production manager, shoe-factory;SW;SW;0;SE;sv;23520;0;29;0;0;21220;1;SHD
31802;Skofabriksarbetare;Shoe-factory worker;SW;SW;0;SE;sv;23521;0;29;0;0;99930;1;SHD
31803;Skofabriksarbetareänka;Widow, factory worker, shoes;SW;SW;0;SE;sv;23522;11;29;0;0;99930;2;SHD
31804;Skofabriksarbetarehustru;Wife, shoe-factory worker;SW;SW;0;SE;sv;23523;11;29;0;0;99930;2;SHD
31805;Skofabriksarbeterska;Shoe-factory worker;SW;SW;0;SE;sv;23524;0;29;0;0;99930;1;SHD
31806;Skofabriksförman;Production manager, shoe-factory;SW;SW;0;SE;sv;23525;0;29;0;0;22670;1;SHD
31807;Skofabrikstillskärare;Shoe-factory worker;SW;SW;0;SE;sv;23526;0;29;0;0;99930;1;SHD
31808;Skoflickare;Shoemaker, repairer;SW;SW;0;SE;sv;23527;0;0;0;0;80130;1;SHD
31809;Skoförsäljerska;Dealer, shoes;SW;SW;0;SE;sv;23528;0;29;0;0;41030;1;SHD
31810;Skogsarbetare;Logger;SW;SW;0;SE;sv;23529;0;0;0;0;63110;1;SHD
31811;Skogsarbetarehustru;Wife, logger;SW;SW;0;SE;sv;23530;11;0;0;0;63110;2;SHD
31812;Skogsavverkare;Logger;SW;SW;0;SE;sv;23531;0;0;0;0;63110;1;SHD
31813;Skogselev;Forester;SW;SW;0;SE;sv;23532;0;0;0;0;63220;1;SHD
31814;Skogsförman;Forest manager;SW;SW;0;SE;sv;23533;0;0;0;0;21230;1;SHD
31815;Skogsförvaltare;Forest manager;SW;SW;0;SE;sv;23534;0;0;0;0;21230;1;SHD
